"AH_CS8","MA_SEXE","MA_ACT_rec","MC_DIPLOME","EA_HAB","EA_LIT","EA_MAL","EA_JOUE","EA_AID","EA_EMM","CA_DIPLOME","OA_REPAS","OA_VAISS","OA_ALIME","OA_LINGE","OA_ASPIR","OA_BRICO","OA_COMPT","OA_INVIT","OB_DACHQUO","OB_DACHEX","OB_DEDUC","OB_DLOISIR","OB_GESTION"
"Cadres et professions intellectuelles supérieures","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Feminin","Non","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","Baccalauréat général (ou équivalent)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ouvriers","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Les enfants eux-mêmes","Les enfants eux-mêmes","Le plus souvent mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Toujours ou le plus souvent quelqu’un ne faisant pas partie du ménage","Aucun diplôme","Toujours mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Professions intermédiaires","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Employés","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Autant moi que mon conjoint",3,"Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Toujours ou le plus souvent d’autres membres du ménage"
"Retraités","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Autres personnes sans activité professionnelle","Feminin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Toujours moi","Toujours moi",1,"Toujours moi","Toujours moi","Autant moi que mon conjoint","Toujours moi","Toujours moi","Toujours moi","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Toujours moi"
"Employés","Masculin","Non","CAP, BEP ou diplôme de ce niveau","Le plus souvent mon conjoint","Autant moi que mon conjoint","Toujours mon conjoint","Le plus souvent mon conjoint","N’est pas concerné","Toujours mon conjoint","Baccalauréat technologique/professionnel (ou équivalent)","Autant moi que mon conjoint","Autant moi que mon conjoint",4,"Le plus souvent moi","Autant moi que mon conjoint","Toujours moi","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint","Le plus souvent mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","Baccalauréat technologique/professionnel (ou équivalent)",NA,NA,NA,NA,NA,NA,"Baccalauréat technologique/professionnel (ou équivalent)","Le plus souvent moi","Le plus souvent moi",2,"Toujours moi","Le plus souvent moi","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent mon conjoint",NA,"Autant moi que mon conjoint","Le plus souvent mon conjoint"
"Retraités","Feminin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artisans, commerçants et chefs d'entreprise","Masculin","Non","Diplôme de niveau supérieur à Bac+2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Professions intermédiaires","Masculin","Non","Brevet des collèges/BEPC (ou équivalent étranger)",NA,NA,NA,NA,NA,NA,"Brevet des collèges/BEPC (ou équivalent étranger)","Le plus souvent moi","Le plus souvent mon conjoint",1,"Le plus souvent mon conjoint","Le plus souvent mon conjoint","Toujours moi","Autant moi que mon conjoint","Le plus souvent moi","Le plus souvent moi","Le plus souvent mon conjoint",NA,"Toujours moi","Toujours mon conjoint"
"Professions intermédiaires","Masculin","Non","Diplôme de niveau Bac+2",NA,NA,NA,NA,NA,NA,"Diplôme de niveau Bac+2","Autant moi que mon conjoint","Le plus souvent moi",3,"Toujours mon conjoint","Toujours moi","Toujours moi","Autant moi que mon conjoint","Autant moi que mon conjoint","Le plus souvent moi","Toujours moi",NA,"Autant moi que mon conjoint","Toujours mon conjoint"
"Professions intermédiaires","Masculin","Non","CAP, BEP ou diplôme de ce niveau",NA,NA,NA,NA,NA,NA,"CAP, BEP ou diplôme de ce niveau","Autant moi que mon conjoint","Toujours mon conjoint",3,"Toujours mon conjoint","Toujours mon conjoint","Le plus souvent moi","Toujours mon conjoint","Toujours mon conjoint","Autant moi que mon conjoint","Autant moi que mon conjoint",NA,"Autant moi que mon conjoint","Autant moi que mon conjoint"
"Employés","Feminin","Non","CAP, BEP ou diplôme de ce niveau","Le plus souvent moi","Le plus souvent mon conjoint","Toujours moi","Toujours moi","Toujours moi","Le plus souvent mon conjoint","CAP, BEP ou diplôme de ce niveau","Toujours moi","Toujours ou le plus souvent d’autres membres du ménage",1,"Toujours moi","Le plus souvent mon conjoint","Toujours mon conjoint","Toujours moi","Toujours moi","Le plus souvent moi","Toujours moi","Toujours moi","Toujours moi","Autant moi que mon conjoint"
