Location ID,Date,Card Type,Exp Type,Gender,Amount,Age
127,20-Sep-21,Gold,Medical,F,82475,23
397,26-Jan-22,Platinum,Medical,F,32555,20
72,28-May-22,Silver,Medical,F,101738,25
397,06-Oct-21,Signature,Medical,F,123424,31
72,22-Jan-22,Gold,Medical,F,171574,31
127,15-Sep-21,Silver,Medical,F,100036,24
127,06-Feb-22,Gold,Medical,F,143250,21
397,29-Oct-21,Platinum,Medical,F,150980,27
127,24-Mar-22,Silver,Medical,F,192247,26
127,12-Jun-22,Platinum,Medical,F,67932,28
127,29-Aug-21,Platinum,Medical,F,280061,29
397,30-Dec-21,Signature,Medical,F,278036,29
397,29-Mar-22,Gold,Medical,F,19226,25
127,30-Mar-22,Signature,Medical,F,254359,22
397,28-Nov-21,Signature,Medical,F,302834,20
397,21-Sep-21,Platinum,Medical,F,647116,28
397,19-Jan-22,Signature,Medical,F,421878,23
397,24-Sep-21,Gold,Medical,F,986379,27
397,31-Aug-21,Platinum,Medical,F,213047,24
397,26-Jan-22,Platinum,Medical,F,735566,30
127,12-Nov-21,Signature,Medical,F,366102,29
127,29-May-22,Signature,Medical,F,809623,30
397,01-Apr-22,Silver,Medical,F,467014,21
9,28-Aug-21,Gold,Medical,F,668568,23
9,31-Oct-21,Gold,Medical,F,339112,25
127,25-May-22,Silver,Medical,F,622170,25
72,02-Oct-21,Platinum,Medical,F,434427,29
397,20-Nov-21,Signature,Medical,F,655846,27
72,04-Oct-21,Platinum,Medical,F,987935,20
127,22-Mar-22,Gold,Medical,F,702774,27
72,01-Aug-21,Signature,Medical,F,225392,27
397,23-Nov-21,Gold,Medical,F,296573,21
9,13-Oct-21,Platinum,Medical,F,227702,25
9,08-Nov-21,Gold,Medical,F,864090,27
9,26-Sep-21,Signature,Medical,F,440605,25
9,23-Mar-22,Platinum,Medical,F,954660,23
9,17-Apr-22,Signature,Medical,F,255577,23
9,06-Mar-22,Silver,Medical,F,337352,31
9,05-Apr-22,Platinum,Medical,F,660244,23
127,19-Mar-22,Silver,Medical,F,401351,30
127,16-Oct-21,Platinum,Medical,F,678842,21
127,09-Apr-22,Gold,Medical,F,478861,24
72,02-Apr-22,Platinum,Medical,F,804938,26
127,30-May-22,Silver,Medical,F,888341,21
72,07-May-22,Platinum,Medical,F,262414,23
72,24-Oct-21,Gold,Medical,F,249353,20
9,04-Mar-22,Gold,Medical,F,892016,31
9,30-Nov-21,Platinum,Medical,F,313626,27
397,24-Jul-21,Gold,Medical,F,314366,25
397,16-Apr-22,Signature,Medical,F,551340,20
127,09-Dec-21,Signature,Medical,F,735037,30
397,22-Mar-22,Platinum,Medical,F,574023,23
9,22-Dec-21,Signature,Medical,F,402300,23
127,25-May-22,Signature,Medical,F,733125,31
397,27-May-22,Signature,Medical,F,545977,20
72,10-Sep-21,Silver,Medical,F,371572,28
9,03-Apr-22,Signature,Medical,F,326283,24
127,03-Jun-22,Platinum,Medical,F,279051,26
127,24-Jul-21,Platinum,Medical,F,900101,23
9,09-Nov-21,Silver,Medical,F,545286,23
127,14-Feb-22,Platinum,Medical,F,722587,30
72,22-Sep-21,Platinum,Medical,F,411062,20
127,16-May-22,Platinum,Medical,F,660910,21
397,06-Nov-21,Signature,Medical,F,557370,20
397,11-Oct-21,Platinum,Medical,F,549794,28
127,02-Mar-22,Platinum,Medical,F,340133,27
72,29-Mar-22,Gold,Medical,F,265417,30
397,02-Mar-22,Platinum,Medical,F,358185,28
397,25-Jan-22,Gold,Medical,F,991685,27
397,11-Dec-21,Gold,Medical,F,533762,23
397,14-Feb-22,Gold,Medical,F,829742,29
127,05-Apr-22,Silver,Medical,F,441527,28
127,08-Nov-21,Signature,Medical,F,550782,22
397,09-Sep-21,Platinum,Medical,F,835872,22
9,13-Dec-21,Silver,Medical,F,540497,24
397,23-May-22,Platinum,Medical,F,525977,30
397,01-Nov-21,Gold,Medical,F,789393,21
397,12-Mar-22,Platinum,Medical,F,689478,24
72,13-Jul-22,Silver,Medical,F,499079,23
9,17-Sep-21,Platinum,Medical,F,665107,24
397,11-Mar-22,Platinum,Medical,F,998077,20
9,12-Sep-21,Silver,Medical,F,934205,22
72,10-Apr-22,Platinum,Medical,F,823426,27
9,24-Sep-21,Signature,Medical,F,282910,29
72,13-Mar-22,Gold,Medical,F,418675,24
9,26-Jan-22,Silver,Medical,F,804949,30
72,23-Aug-21,Gold,Medical,F,686601,22
397,03-Dec-21,Silver,Medical,F,561220,22
397,13-Nov-21,Gold,Medical,F,762534,30
72,18-Dec-21,Gold,Medical,F,327947,31
72,25-Jan-22,Gold,Medical,F,492986,25
127,29-Jan-22,Signature,Medical,F,369237,31
72,21-Jan-22,Platinum,Medical,F,983839,27
9,22-Feb-22,Gold,Medical,F,776716,21
397,17-Mar-22,Gold,Medical,F,664632,28
72,18-Jul-22,Gold,Medical,F,466727,31
72,03-Jan-22,Gold,Medical,F,896384,26
127,15-Aug-21,Signature,Medical,F,712001,27
397,27-Jul-21,Silver,Medical,F,246865,26
397,05-Jan-22,Signature,Medical,F,858729,29
127,19-Dec-21,Platinum,Medical,F,581882,30
397,31-Dec-21,Signature,Medical,F,646426,31
72,24-Nov-21,Silver,Medical,F,687088,26
72,19-Sep-21,Signature,Medical,F,973026,24
397,22-Jan-22,Silver,Medical,F,944398,30
9,08-May-22,Platinum,Medical,F,414422,29
72,24-Dec-21,Signature,Medical,F,408503,25
72,18-Mar-22,Signature,Medical,F,984466,25
397,25-Nov-21,Gold,Medical,F,919997,29
397,25-Apr-22,Signature,Medical,F,535101,31
397,25-Dec-21,Signature,Medical,F,978301,22
397,22-Sep-21,Gold,Medical,F,880406,26
9,25-Dec-21,Silver,Medical,F,447241,20
72,13-Sep-21,Platinum,Medical,F,382191,28
72,17-Jan-22,Silver,Medical,F,775859,24
72,26-Jul-21,Platinum,Medical,F,832637,23
72,06-Oct-21,Platinum,Medical,F,458526,20
9,30-Nov-21,Signature,Medical,F,440995,28
9,16-Jul-22,Platinum,Medical,F,490128,29
127,07-Oct-21,Platinum,Medical,F,897079,29
127,03-Apr-22,Gold,Medical,F,431948,27
72,19-Jan-22,Silver,Medical,F,228072,21
127,07-Dec-21,Gold,Medical,F,757649,22
127,07-Dec-21,Signature,Medical,F,919877,21
397,02-Sep-21,Gold,Medical,F,605615,28
72,15-Dec-21,Platinum,Medical,F,500852,22
397,19-Apr-22,Signature,Medical,F,488136,23
127,21-Sep-21,Gold,Medical,F,937828,21
127,06-Mar-22,Gold,Medical,F,315873,30
397,18-Aug-21,Silver,Medical,F,567623,31
397,20-Feb-22,Platinum,Medical,F,555123,21
72,31-Jan-22,Gold,Medical,F,498843,26
397,01-Apr-22,Silver,Medical,F,752610,30
397,08-Mar-22,Platinum,Medical,F,494540,25
127,05-Aug-21,Gold,Medical,F,996754,27
9,04-Mar-22,Signature,Medical,F,245572,26
127,24-Apr-22,Gold,Medical,F,974384,27
9,03-Nov-21,Silver,Medical,F,846635,21
9,01-Jun-22,Silver,Medical,F,635473,29
127,14-Apr-22,Gold,Medical,F,224510,27
127,24-Jan-22,Silver,Medical,F,478671,30
397,17-Sep-21,Gold,Medical,F,990700,26
127,27-Nov-21,Gold,Medical,F,228565,31
72,23-Jul-21,Silver,Medical,F,297732,30
397,09-Jun-22,Signature,Medical,F,559262,23
72,02-Feb-22,Signature,Medical,F,809907,28
9,04-Nov-21,Signature,Medical,F,428316,24
9,23-Aug-21,Signature,Medical,F,275065,21
72,13-Nov-21,Silver,Medical,F,845653,24
9,18-Mar-22,Signature,Medical,F,236296,31
72,22-Aug-21,Signature,Medical,F,440572,31
9,15-Jul-22,Gold,Medical,F,478115,27
72,22-Oct-21,Gold,Medical,F,897621,27
397,12-Nov-21,Signature,Medical,F,554281,26
127,17-Oct-21,Silver,Medical,F,245452,28
127,12-Jan-22,Platinum,Medical,F,365045,28
397,08-Sep-21,Gold,Medical,F,496047,20
72,25-Mar-22,Silver,Medical,F,466814,29
72,31-Oct-21,Gold,Medical,F,835177,26
127,19-Aug-21,Silver,Medical,F,219698,22
72,03-Jul-22,Silver,Medical,F,784541,29
127,08-Mar-22,Signature,Medical,F,576994,22
72,15-Jan-22,Gold,Medical,F,464663,27
72,20-Aug-21,Platinum,Medical,F,380270,25
9,01-Jul-22,Silver,Medical,F,772082,27
127,07-Nov-21,Gold,Medical,F,230853,25
72,27-Apr-22,Signature,Medical,F,677654,23
397,11-Sep-21,Signature,Medical,F,929247,31
9,31-Dec-21,Platinum,Medical,F,851374,31
9,25-Aug-21,Platinum,Medical,F,637600,25
397,01-Apr-22,Platinum,Medical,F,681749,25
127,26-Nov-21,Silver,Medical,F,847958,27
397,01-Oct-21,Gold,Medical,F,877569,28
9,02-Feb-22,Platinum,Medical,F,450413,23
72,16-Mar-22,Signature,Medical,F,219041,23
72,14-Jan-22,Gold,Medical,F,866572,31
397,24-Jun-22,Signature,Medical,F,570791,28
9,07-Feb-22,Silver,Medical,F,705464,31
397,24-Mar-22,Signature,Medical,F,806821,31
397,24-Sep-21,Platinum,Medical,F,515472,27
9,24-Dec-21,Silver,Medical,F,352207,28
9,02-Jun-22,Gold,Medical,F,342761,24
72,14-Jul-22,Signature,Medical,F,249099,25
9,25-Sep-21,Platinum,Medical,F,995634,25
72,28-Mar-22,Signature,Medical,F,435097,31
9,10-Jul-22,Platinum,Medical,F,797815,22
127,17-Mar-22,Gold,Medical,F,326922,21
72,21-Jun-22,Gold,Medical,F,396241,25
