ID,VILLE,LIVRES,VACANCES,LIEUVIE,NBCOHAB,CHAMBRE,TRI,EMBALLAGE,RUE,PREOCCUP,SENTIMENTS,CANAL,PRATIQUES,INVESTI,PREF,TEL,SECMAIN,ACHAT,pays_recode,VOYAGE,MOYENALLER,MOYENLIEU,TRANSPORTS1,TRANSPORTS2,TRANSPORTS3,TRANSPORTS4,TRANSPORTS5,RAISON,ALTERNATIVE,ETAB,CLASSE,GENRE,POIDSCAL
5196,Non,plus de 50 livres,2 fois,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,2,1,3,Les réseaux sociaux,2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as toujours chez toi,Aucun,Plus de trois,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,,,,,Aucune de ces réponses ne te correspond,Vélo partagé (par exemple : Vélib),Hélène Boucher,1ère,Fille,2.69565217391305
8751,Non,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,4,4,Autre,4,"Oui, tu es investi(e)",L'installation d'un poulailler,Tu n'as pas de téléphone,Aucun,Plus de trois,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Marche à pied,À pied,,,,,C'est plus rapide,Vélo personnel,Miriam Makeba,5ème,Garçon,1.4375
4801,Non,plus de 50 livres,3 fois ou plus,avec tes deux parents dans le même logement,deux,Oui,on trie le verre et d'autres déchets recyclables,tu le gardes pour le jeter à ton retour chez toi,3,3,2,Des journaux (papier),2,"Non, tu n'es pas investi(e)",Un parking vélo dans l'établissement,Tu l'as donné à une recyclerie,NSPRF,Aucun,Europe,Vacances avec ta famille,Avion,Marche à pied,À pied,Métro / RER,,,,Parce que ça te plaît,Tu ne sais pas ou tu ne souhaites pas répondre,Hélène Boucher,Terminale,Garçon,5.02857142857143
1749,Non,entre 10 et 50 livres,2 fois,avec l'un de tes deux parents seulement,trois,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,2,3,3,Les réseaux sociaux,3,"Non, tu n'es pas investi(e)",La réservation des repas à la cantine,Tu n'as pas de téléphone,Aucun,Deux,France,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),"Bus (dont microbus, Traverse, etc.)",Trottinette,,,,Tu n'as pas le choix parce que c'est la seule solution,Transport adapté aux personnes à mobilité réduite,Miriam Makeba,4ème,Garçon,1.24489795918368
6755,Oui,plus de 50 livres,3 fois ou plus,NSPRF,zero,Non,"on trie tout, y compris le compost",tu le jettes par terre si personne ne regarde,4,3,NSPRF,La télévision,NSPRF,"Non, tu n'es pas investi(e)",L'installation d'un poulailler,Tu l'as toujours chez toi,Plus de deux,Plus de trois,Afrique,Vacances avec ta famille,Avion,Train (RER/TER/TGV...),"Bus (dont microbus, Traverse, etc.)",,,,,C'est plus rapide,Trottinette,Miriam Makeba,5ème,Fille,1.25714285714286
3740,Oui,plus de 50 livres,3 fois ou plus,autre,+4,Oui,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,1,3,Les cours,3,"Oui, tu es investi(e)",Le tri des déchets à la cantine,Tu as toujours ton premier téléphone,Aucun,Plus de trois,Afrique,Vacances avec ta famille,Avion,Voiture (personnelle / location / taxi),Tram,Métro / RER,À pied,"Bus (dont microbus, Traverse, etc.)",Vélo partagé (par exemple : Vélib),Tu n'as pas le choix parce que c'est la seule solution,"Voiture, scooter, moto",Hélène Boucher,2nde,Garçon,5.35000000000007
5505,Non,plus de 50 livres,3 fois ou plus,en partie chez l'un et chez l'autre,+4,Oui,"on trie tout, y compris le compost",tu cherches la poubelle la plus proche,2,4,1,Les conversations en famille,2,"Tu n'es pas investi(e) actuellement, mais tu souhaiterais t'investir à l'avenir",Une ruche d'abeilles,Tu l'as donné à un proche,Plus de deux,Aucun,France,Vacances avec ta famille,Train (RER/TER/TGV…),Marche à pied,"Bus (dont microbus, Traverse, etc.)",Métro / RER,À pied,,,C'est plus rapide,,Hélène Boucher,2nde,Garçon,5.35000000000007
6970,Oui,moins de 10 livres,3 fois ou plus,avec l'un de tes deux parents seulement,un,Non,on trie le verre et d'autres déchets recyclables,tu cherches la poubelle la plus proche,3,1,NSPRF,Les réseaux sociaux,NSPRF,"Non, tu n'es pas investi(e)",Un potager,Tu l'as toujours chez toi,Aucun,Trois,Tu ne sais pas ou tu ne souhaites pas répondre,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,"Bus (dont microbus, Traverse, etc.)",,,,Tu n'as pas le choix parce que c'est la seule solution,Autre,Miriam Makeba,3ème,Fille,1.13513513513521
3271,Oui,entre 10 et 50 livres,1 fois,avec tes deux parents dans le même logement,+4,Oui,on met tout dans la même poubelle,tu le gardes pour le jeter à ton retour chez toi,3,2,3,La télévision,3,NSPRF,La réservation des repas à la cantine,Tu l'as toujours chez toi,Plus de deux,Plus de trois,Asie,Vacances avec ta famille,Avion,Avion,À pied,,,,,Tu n'as pas le choix parce que c'est la seule solution,Autre,Miriam Makeba,6ème,Fille,1.1818181818182
4220,Non,moins de 10 livres,3 fois ou plus,avec tes deux parents dans le même logement,+4,Non,on met tout dans la même poubelle,tu cherches la poubelle la plus proche,3,3,2,La télévision,4,"Oui, tu es investi(e)",L'installation d'un poulailler,Tu l'as donné à un proche,Aucun,Deux,Europe,Vacances avec ta famille,Voiture (personnelle/location/taxi),Voiture (personnelle / location / taxi),À pied,,,,,Aucune de ces réponses ne te correspond,"Bus (dont microbus, Traverse, etc.)",Miriam Makeba,6ème,Fille,1.1818181818182
