ID,CLASSE,ETAB,SCOLFR,CHAMBRE,DEVOIRS,VACANCES,PARVENS,vitparent_corr,vitautre_corr,TEL,TRADS_PERE,TRADS_MERE,OCCUP,VAISSELLE,PARTICIPATION,EDUC,HEURE,HABITS,DORMIR,QUESTIONS,REPRENDRE,TELCOURS,RESEAUXSOCIAUX,TEMPSRS,USAGES,tempsetude_corr,ACTEXTRA,LOISIR_01,LOISIR_02,LOISIR_03,LOISIR_04,LOISIR_05,LOISIR_06,LOISIR_07,LOISIR_08,GENRE,type_etab
30249309,4ème,Miriam Makeba,Non,Non,Oui,Jamais,Sans réponse,Oui,Chez ta mère (ou tutrice),Oui,D'accord,Pas du tout d'accord,Le plus souvent ma mère (ou tutrice),Rarement,"Non, les filles font plus",Oui,Avant la tombée de la nuit,Oui,Sans réponse,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Moins d'1h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),30.0,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Un garçon,collège
955507099,4ème,Miriam Makeba,Oui,Non,Oui,Jamais,Oui,Oui,,Oui,D'accord,D'accord,Le plus souvent mon père (ou tuteur),Jamais,"Oui, ils/elles participent autant",Oui,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),180.0,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Un garçon,collège
732576603,4ème,Miriam Makeba,Oui,Oui,Oui,1 fois,Oui,Oui,,Oui,Pas d'accord,Pas du tout d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,"Oui, ils/elles participent autant",Oui,Avant le dernier métro/bus,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",120.0,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Un garçon,collège
306713883,4ème,Miriam Makeba,Oui,Non,Ça dépend,2 fois,Oui,Oui,,Non,Je ne sais pas,Je ne sais pas,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,Je ne sais pas,Oui,Sans réponse,Oui,Sans réponse,"Oui, souvent",Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",110.0,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Un garçon,collège
526987565,4ème,Miriam Makeba,Oui,Oui,Oui,3 fois ou plus,Oui,Oui,,Oui,Je ne sais pas,Je ne sais pas,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,Je ne sais pas,Oui,Avant le dîner,Sans réponse,Sans réponse,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),30.0,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Un garçon,collège
1094934375,4ème,Miriam Makeba,Oui,Oui,Non,2 fois,Oui,Oui,,Non,Je ne sais pas,Je ne sais pas,Le plus souvent ma mère (ou tutrice),Rarement,Je ne sais pas,Je ne sais pas,Avant la tombée de la nuit,Oui,Sans réponse,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Moins d'1h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",30.0,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Un garçon,collège
1029264770,4ème,Miriam Makeba,Oui,Non,Oui,1 fois,Oui,Oui,,Oui,D'accord,D'accord,Sans réponse,Rarement,Je ne sais pas,Je ne sais pas,Avant le dîner,Sans réponse,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Moins d'1h,Passer moins de temps sur les réseaux sociaux ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",100.0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Un garçon,collège
1117889546,4ème,Miriam Makeba,Oui,Oui,Oui,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Non,Sans réponse,Sans réponse,Sans réponse,Tous les jours,Sans réponse,Je ne sais pas,Sans réponse,Sans réponse,Sans réponse,Très rarement,Sans réponse,Sans réponse,Sans réponse,Passer plus de temps sur les réseaux sociaux ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",0.0,Sans réponse,Non,Non,Non,Non,Non,Non,Oui,Non,Une fille,collège
615940225,4ème,Miriam Makeba,Oui,Non,Oui,1 fois,Non,,Chez ton père (ou tuteur),Oui,Tout à fait d'accord,Tout à fait d'accord,Le plus souvent mon père (ou tuteur),Rarement,"Non, les filles font plus",Oui,Sans réponse,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),280.0,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Une fille,collège
1573315455,4ème,Miriam Makeba,Oui,Non,Non,Jamais,Oui,Oui,,Oui,Pas du tout d'accord,Pas du tout d'accord,Le plus souvent mon père (ou tuteur),Rarement,Sans réponse,Oui,Avant la tombée de la nuit,Non,"Non, je n'ai pas le droit de dormir ailleurs",Très rarement,Sans réponse,Jamais ou très rarement,Moins d'1h,Passer plus de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),480.0,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Un garçon,collège
